Deck 1	Deck 2	Number of Games	Player 1 WIN_RATE	Player 1 GAMES_WON	Player 1 GAMES_LOST	Player 1 DAMAGE_DEALT	Player 1 HEALING_DONE	Player 1 MANA_SPENT	Player 1 CARDS_PLAYED	Player 1 TURNS_TAKEN	Player 1 ARMOR_GAINED	Player 1 CARDS_DRAWN	Player 1 FATIGUE_DAMAGE	Player 1 MINIONS_PLAYED	Player 1 SPELLS_CAST	Player 1 HERO_POWER_USED	Player 1 WEAPONS_EQUIPPED	Player 1 WEAPONS_PLAYED	Player 1 CARDS_DISCARDED	Player 2 WIN_RATE	Player 2 GAMES_WON	Player 2 GAMES_LOST	Player 2 DAMAGE_DEALT	Player 2 HEALING_DONE	Player 2 MANA_SPENT	Player 2 CARDS_PLAYED	Player 2 TURNS_TAKEN	Player 2 ARMOR_GAINED	Player 2 CARDS_DRAWN	Player 2 FATIGUE_DAMAGE	Player 2 MINIONS_PLAYED	Player 2 SPELLS_CAST	Player 2 HERO_POWER_USED	Player 2 WEAPONS_EQUIPPED	Player 2 WEAPONS_PLAYED	Player 2 CARDS_DISCARDED
Dragon Priest	Secret Mage	10000	0.9044	9044	956	470727	62033	485591	196054	123629		126904	591	245862	13578	64644	226	181	3	0.0956	956	9044	1014045	1011	428851	240326	121539	2	150561	19044	187808	79110	66871	3409	3409	3
Dragon Priest	Miracle Rogue	10000	0.9479	9479	521	440070	49007	401523	169897	108356		111961	11	226299	12895	52714	95	56	50	0.0521	521	9479	749357	6322	363040	210708	106573	12	157038	6369	165527	106956	30024	29500	148	4
Miracle Rogue	Big Spell Mage	10000	0.2319	2319	7681	605619	402	523347	295004	147020	1750	238848	38399	252619	147620	46158	45837	167	21	0.7678	7678	2322	942466	10224	633223	239808	145871	24824	160043	356	250030	57956	74633	4137	1	22
Tempo Rogue	Demon Warlock	10000	0.566	5660	4340	632344	4088	550629	257364	154279	174	153398	2886	377643	35452	49729	48745	122	1483	0.433	4330	5670	1440169	226336	753290	235678	154049		192209	33009	278686	89062	43415	472	472	
Aggro Paladin	Big Spell Mage	10000	0.5854	5854	4146	437556		427138	201726	126398		157054	20460	266738	51866	34792	29890	28716		0.4146	4146	5854	979204	9081	478000	194219	124106	17414	136829	96	182892	48048	68443	2908		
Aggro Paladin	Cube Warlock	10000	0.5094	5094	4906	629443		416206	201816	123562		148951	5963	271259	50136	34040	27917	26658		0.4901	4901	5099	1052657	204817	487108	182870	123401		171520	4564	229399	59949	35258	3623	3534	14489
Big Priest	Big Spell Mage	10000	0.7095	7095	2905	780521	323576	937872	350902	207053	469	194157	37395	147091	186469	123260	1491	1417	2	0.2875	2875	7125	1218226	17740	946744	333229	205509	27072	208933	19004	317314	83068	110400	6976	16	12
Miracle Rogue	Token Shaman	10000	0.0397	397	9603	687681	2672	353500	208111	105115	90	154253	5274	163126	106215	28863	29416	724	36	0.96	9600	400	445583	10997	388380	185778	107321	1168	125335	197	256046	61762	22894	8656	8604	169
Aggro Paladin	Demon Warlock	10000	0.4285	4285	5715	568760		465247	215525	133297		170927	59816	278766	56444	37133	33348	31825		0.571	5710	4290	1037184	182716	606708	196854	131763		176540	5000	227813	75346	34172	249	249	
Big Priest	Miracle Rogue	10000	0.6055	6055	3945	749682	240190	616732	236674	150638		150244	1203	111249	120296	85221	476	476		0.3935	3935	6065	595676	10619	599192	317284	152739	16	255672	58964	285956	148784	47219	44972	270	
Spiteful Priest	Exodia Mage	10000	0.9897	9897	103	326820	75279	575975	231857	141094	340	170218	3598	277166	21991	76851	402	350		0.0099	99	9901	1144095	247	579929	297338	139554	51854	191993	17268	192110	126647	79944	11	11	5
Big Priest	Midrange Hunter	10000	0.1376	1376	8624	603957	156118	317951	151421	103838		102874	2457	36445	78381	61502	237	237		0.8623	8623	1377	268014	701	341521	149933	107372		107168	391	228477	8154	28089	15453	15445	
Cube Warlock	Aggro Hunter	10000	0.4579	4579	5421	923807	187816	422566	162257	112186		156011	1294	198192	53460	30763	2932	2932	13513	0.5404	5404	4596	616784		366404	168088	112276		112276		219674	22587	31160	16835	16835	
Tempo Rogue	Miracle Rogue	10000	0.917	9170	830	349070	55	341831	173541	97260		97933		273013	25789	21865	22360	495		0.083	830	9170	634337	90	300551	183254	94996		136279	2632	144914	94938	25213	25949	736	
Big Spell Mage	Exodia Mage	10000	0.8788	8788	1212	882333	12911	905765	317288	187372	34863	226538	15654	311759	82069	97432	6491		3	0.1199	1199	8801	828815	1577	896656	418946	194037	67915	245223	106544	272558	195693	104727	940		70
Token Shaman	Spiteful Priest	10000	0.2539	2539	7461	1347680	10644	483311	235578	134210	1802	153911	1837	312485	76206	39625	11700	11576	232	0.7459	7459	2541	950980	55999	562648	231054	135687	275	140668	1423	279422	19605	79760	827	740	63
Highlander Priest	Jade Druid	10000	0.0426	426	9574	1115263	170257	642210	350639	159711	8696	209008	24872	224010	116905	118634	50		423	0.9571	9571	429	594501	917	827639	276164	162504	185030	248520	32662	233255	154305	48166	1		12
Dragon Priest	Token Shaman	10000	0.6557	6557	3443	1038701	59837	609073	242806	142233	373	146765	2022	293630	21553	83272	969	871	52	0.344	3440	6560	1316774	11343	515824	250695	141607	1967	162704	3039	328127	81528	42131	12406	12285	223
Dragon Priest	Aggro Druid	10000	0.7043	7043	2957	733120	50403	417710	183646	115113		117840	255	218151	13225	66544	147	85		0.2957	2957	7043	976913		315371	186333	114127	31954	117225		254738	50625	31954			
Tempo Rogue	Secret Mage	10000	0.8018	8018	1982	422602	98	399774	190608	110709	347	111339	61	285342	28872	27574	27586	81	1	0.1982	1982	8018	846749	790	353879	210561	108464	18	128240	6461	171782	68923	60005	2516	2516	
Aggro Paladin	Miracle Rogue	10000	0.8724	8724	1276	329831		278524	146230	93010		100315	55	217350	33538	21097	15670	15397		0.1275	1275	8725	552270	3618	280256	172284	90751	1	130681	3219	135229	91184	23658	24194	719	
Elemental Priest	Exodia Mage	10000	0.5012	5012	4988	980339	193976	839613	435740	186291	9908	250002	109629	279126	156067	137039	104	28	628	0.4922	4922	5078	714328	12561	915313	430960	190143	53496	257633	69022	298898	189420	101701	16	9	137
Big Priest	Jade Druid	10000	0.293	2930	7070	1060598	288689	813824	310942	183679		175647	23799	113255	163760	108914	1160	1160		0.7059	7059	2941	936189	1043	931403	326525	185960	219048	273364	88462	259139	189011	61114	18	18	
Tempo Rogue	Cube Warlock	10000	0.5377	5377	4623	747314	4534	519450	244510	138407	255	138735	639	363334	32743	40409	39693	104	1901	0.4618	4618	5382	1385891	244206	561679	208932	138112		186286	13007	269990	66416	41940	4218	4218	16526
Zoo Warlock	Secret Mage	10000	0.8592	8592	1408	453193	2184	329590	171878	102067		143740	69	272715	15762	25414			22875	0.1408	1408	8592	752102	696	297902	186058	98917		114377	3220	139254	60938	55621	2021	2021	778
Dragon Priest	Demon Warlock	10000	0.9068	9068	932	681682	104904	757335	281754	168032		166753	12486	348324	30972	95064	951	851	1	0.0928	928	9072	1864228	227651	819662	257382	166855		195927	73058	286779	99202	51291	655	655	
Dragon Priest	Aggro Hunter	10000	0.6129	6129	3871	661890	45034	360173	160027	105151		106554	27	202162	9353	56972	814	784	1	0.387	3870	6130	754081		337355	155747	104823		104823		205192	21281	27828	15699	15699	
Elemental Priest	Aggro Hunter	10000	0.1202	1202	8798	788102	122522	367646	219879	110133	3172	140712	1846	146962	77817	71399	330	320	170	0.8798	8798	1202	386220	127	371815	168629	113505		113572		223056	22065	30722	16364	16364	1
Big Spell Mage	Aggro Druid	10000	0.4774	4774	5226	1164963	15401	604088	232825	144751	23560	157133	4832	210046	58305	80771	4184			0.5225	5225	4775	571727	18	392602	225025	145166	46062	147263	4663	306233	63407	46062			
Aggro Hunter	Demon Warlock	10000	0.5999	5999	4001	556385		398877	181262	125193		125058	193	233813	25599	38196	17914	17914		0.3985	3985	6015	997612	179606	549351	182382	124720		164710	7150	206850	69341	32366	207	207	
Zoo Warlock	Token Shaman	10000	0.5424	5424	4576	946202	11007	403284	210078	119414	194	169626	1322	328355	18030	35276	10	9	28646	0.4576	4576	5424	969377	12598	415403	203877	118204	1363	135212	638	276394	66551	32755	9923	9827	287
Aggro Druid	Aggro Hunter	10000	0.5927	5927	4073	677094		265657	159295	97742	23940	102494		225826	43394	23940				0.405	4050	5950	659788		298972	141621	97063		97063		185626	20195	25220	14209	14209	
Miracle Rogue	Midrange Hunter	10000	0.0295	295	9705	510449	11	228088	148329	81770	12	110870	827	105048	79585	21200	21271	253	2	0.9705	9705	295	254857	778	249860	121244	84566		84566		198866	5891	18527	11432	11426	
Murloc Paladin	Spiteful Priest	10000	0.5386	5386	4614	866726		365572	187172	109413		136982	5537	298095	30424	25307	9508	9508		0.4599	4599	5401	730269	39415	376426	170982	108274		109937	137	202811	11600	62803	499	421	1
Aggro Paladin	Highlander Priest	10000	0.8651	8651	1349	368770	160	401954	194166	122349	18	143813	2473	264731	46490	31512	25134	24333	2	0.1346	1346	8654	874599	114051	412638	246776	119333	3917	156286	9564	163699	84000	84438	385	356	230
Mill Rogue	Demon Warlock	10000	0.4667	4667	5333	494734	18479	588688	323047	177860		210454	18224	238721	136506	47131	67435	20304		0.5273	5273	4727	870731	237219	942616	283177	180533		235505	150428	335133	93791	49149	603	603	
Miracle Rogue	Mill Rogue	10000	0.6481	6481	3519	472248	311	573929	302082	132333		257635	53192	293465	141082	33027	34471	1444		0.3511	3511	6489	504406	10809	459992	262052	130104		164869	625	217160	103873	35967	54247	18280	
Zoo Warlock	Big Priest	10000	0.7059	7059	2941	521671	18848	415485	215956	127679		178029	8527	331003	17653	40267	6	6	29578	0.2931	2931	7069	765896	210625	437216	194851	124660		123353	3625	52347	100429	77756	346	346	32
Aggro Hunter	Highlander Priest	10000	0.8834	8834	1166	390181	25	377505	170652	114850		114924		225730	22227	31095	16486	16486	1	0.1165	1165	8835	801791	122564	373073	221927	111622	3204	145173	3447	149899	76681	72856	335	321	142
Big Spell Mage	Highlander Priest	10000	0.8599	8599	1401	943775	14680	912010	321129	194200	26988	207658	2476	312786	79413	103680	6774	1	47	0.1399	1399	8601	1027632	177898	760201	405689	194644	9546	232708	78532	258443	130395	147076	49		592
Tempo Rogue	Mill Rogue	10000	0.9778	9778	222	306375	64	482890	234094	116020		142837	1766	369586	32511	25593	26328	735		0.022	220	9780	581247	9250	354053	213294	113259		139432	748	158520	89648	31737	47040	15303	
Secret Mage	Aggro Druid	10000	0.2046	2046	7954	795049	816	350328	215011	109348		130542	9840	163315	70262	62619	2693	2693		0.7953	7953	2047	455392		307418	179478	110984	29478	113933	4	236336	48702	29478			
Spiteful Priest	Jade Druid	10000	0.8478	8478	1522	720908	68322	591432	231839	139052	4246	144895	3515	282313	21928	76520	363	295	2	0.152	1520	8480	1656182		646134	223358	136973	152975	206958	31002	182094	132852	41007			
Zoo Warlock	Jade Druid	10000	0.6191	6191	3809	795878	12399	437819	224127	126740		182114	3151	347692	18406	38795			30599	0.3802	3802	6198	1154585		573052	196288	124835	131661	188044	15777	165567	115123	35990			
Murloc Paladin	Token Shaman	10000	0.5126	5126	4874	828125	384	388400	201422	122128	210	133737	1296	316065	33728	32643	10376	10375	60	0.4867	4867	5133	880417	12912	419630	209770	122080	1225	138802	614	274480	69173	35868	10069	9989	220
Elemental Priest	Highlander Priest	10000	0.5464	5464	4536	1012947	184267	863543	455075	203141	10641	248643	48224	295964	146886	156385	136	30	792	0.4533	4533	5467	1020488	175494	848410	447553	203375	10561	252620	65750	299043	135989	156933	93	2	788
Cube Warlock	Spiteful Priest	10000	0.0879	879	9121	1736060	228371	543478	208336	138016		182076	17505	256121	66826	44846	4282	4276	15524	0.912	9120	880	720248	83178	601207	234479	140979		144160	3044	293108	19545	76747	560	474	962
Midrange Hunter	Exodia Mage	10000	0.9926	9926	74	202858	654	365174	160127	109647		125455	2	244313	8438	27418	17320	17320		0.0074	74	9926	656355	146	371595	208473	106110	36215	145190	1863	135128	85548	58762	1	1	5
Murloc Paladin	Elemental Priest	10000	0.9714	9714	286	266454	118	333333	169110	106721	4	124806	1210	266074	27897	21364	8256	8256		0.0285	285	9715	741021	98712	319122	203549	102743	2447	131113	4069	122324	72143	69377	108	103	136
Tempo Rogue	Midrange Hunter	10000	0.3032	3032	6968	666628	28	321156	163907	96792	6	96927		245091	25064	24062	24125	280	2	0.6968	6968	3032	635483	1621	301474	138639	97506		97506		224128	7354	24524	14225	14225	
Murloc Paladin	Aggro Hunter	10000	0.8304	8304	1696	518329		276565	146965	93591		99536	3	240700	23758	19745	6592	6592		0.1683	1683	8317	630086		266773	130059	90966		90966		168518	19172	23555	13223	13223	
Big Priest	Aggro Druid	10000	0.3758	3758	6242	750442	208150	488638	208905	131867		129204	7795	65118	106234	80997	482	482		0.624	6240	3760	441880	1098	367208	213947	133291	40325	136840	1173	280976	56602	40325	12	12	
Big Priest	Cube Warlock	10000	0.5954	5954	4046	1031757	309027	885841	332564	194110		186935	19581	126248	174489	115515	1177	1177	112	0.403	4030	5970	1334077	299957	822926	299059	195319		237180	79192	394940	84426	68940	6443	6443	21163
Token Shaman	Highlander Priest	10000	0.9555	9555	445	509726	14538	573729	276086	155577	2079	180051	1231	348717	86787	47881	12930	12815	244	0.0444	444	9556	1224430	157575	592787	338184	153018	6578	197235	27696	210026	111708	118663	293	259	436
Aggro Paladin	Murloc Paladin	10000	0.1732	1732	8268	645247		282758	147515	97998		103587	53	202942	36323	26523	18324	17793		0.8265	8265	1735	519310		295895	157532	99951		105643	18	255918	26107	22605	7389	7389	
Zoo Warlock	Midrange Hunter	10000	0.4292	4292	5708	757287	2694	301906	163879	96647		135894	108	258820	15532	24686			23499	0.5708	5708	4292	641377	1697	291190	136344	96354		96352	2	212376	7225	24612	14554	14554	
Big Priest	Aggro Hunter	10000	0.2472	2472	7528	608902	176254	367649	164854	111510		110972	1293	53966	85763	64913	284	284		0.752	7520	2480	353481	424	370611	167589	114204		114148	79	218815	22029	31423	16611	16611	
Elemental Priest	Mill Rogue	10000	0.3601	3601	6399	958701	169262	837174	416538	180870	9894	246253	133570	316177	134269	120915	470	410	615	0.6361	6361	3639	423447	26360	661381	355147	178642	99	221219	9195	269785	139893	45986	74380	28416	11
Big Priest	Demon Warlock	10000	0.7779	7779	2221	947062	301570	949069	361193	208225		195561	35482	150496	191924	127860	1624	1624		0.2205	2205	7795	1426251	264539	1108657	326884	208896		231874	121622	388409	119071	66315	1203	1203	
Big Priest	Token Shaman	10000	0.3771	3771	6229	1075884	262798	698627	282968	166925	30	161333	17586	95014	145151	106679	856	784	10	0.6217	6217	3783	678570	9524	614937	291948	168332	1759	187877	11248	367743	91415	52600	13759	13535	257
Dragon Priest	Exodia Mage	10000	0.9841	9841	159	369466	80751	651608	252467	150227	328	180972	4249	306213	24541	81246	447	379	2	0.0158	158	9842	1180952	270	646016	323379	149758	56846	205110	23676	210078	139024	85314	27	27	2
Token Shaman	Aggro Hunter	10000	0.6687	6687	3313	765584	9339	378172	183310	108751	1164	125743	134	250251	61912	26467	8833	8787	125	0.3294	3294	6706	737504	137	347956	161240	107513	97	107752	4	210958	22294	29222	16244	16243	13
Zoo Warlock	Spiteful Priest	10000	0.3871	3871	6129	1057607	8499	376308	197060	113398		160240	1144	308944	17132	32614			27296	0.6129	6129	3871	798768	59282	410936	183199	113448		116189	182	222152	11569	65594	198	120	1387
Murloc Paladin	Miracle Rogue	10000	0.9831	9831	169	228903		247318	132864	84142		89472	1	220794	20024	14562	5240	5240		0.0168	168	9832	500806	2352	223229	146575	80894		109280	1357	100507	80434	20562	20977	605	
Tempo Rogue	Jade Druid	10000	0.5201	5201	4799	703818	1256	518675	238197	134020	5066	135311	214	355996	33223	37456	37288	150	6	0.4793	4793	5207	1253479		632580	213970	133290	145434	203009	22222	189723	124971	38332			
Murloc Paladin	Secret Mage	10000	0.9546	9546	454	295519		297179	153605	97676		109192	64	240693	25048	19735	7008	7008		0.0451	451	9549	668118	488	273341	174331	94326	168	108358	3795	127696	57685	52718	1868	1868	
Big Spell Mage	Aggro Hunter	10000	0.2644	2644	7356	884433	5922	424089	174463	115617	15398	124826	229	163490	43006	60498	2395			0.7348	7348	2652	431172		373117	170617	117626		117542	119	223503	23762	33887	17154	17154	
Aggro Druid	Jade Druid	10000	0.3636	3636	6364	786071		366970	215742	131069	40221	135184	27	283896	57702	40221				0.636	6360	3640	1030146		625991	210450	132209	142025	200956	21400	175273	122754	37118			
Murloc Paladin	Midrange Hunter	10000	0.5467	5467	4533	665368		301319	159910	99675		107810	34	254981	25976	23433	7709	7709		0.453	4530	5470	637132	1852	299022	139662	99090		99090		215131	7602	26191	14947	14947	
Cube Warlock	Aggro Druid	10000	0.5193	5193	4807	1147261	217968	521571	194766	131665		175779	11813	232693	62481	38979	3919	3919	15053	0.4796	4796	5204	762122		359699	212754	130671	39629	134076	292	285265	56879	39629			
Murloc Paladin	Big Spell Mage	10000	0.7556	7556	2444	373219		392730	196295	119488		147747	22510	309493	33666	28995	10901	10901		0.2443	2443	7557	957811	7604	427438	178971	116393	13433	127282	312	154183	44449	64650	2377		6
Secret Mage	Highlander Priest	10000	0.5249	5249	4751	743926	5368	576378	315309	148717	84	197100	52771	261766	101142	81620	5048	5047	52	0.4751	4751	5249	750300	162878	570424	310881	146249	5206	191731	10556	204192	104463	101025	86	55	338
Aggro Paladin	Midrange Hunter	10000	0.2958	2958	7042	652705		278542	144475	95358		102941	17	200835	35505	24156	17164	16837		0.7042	7042	2958	555324	1920	290386	135811	96164		96164		217957	7059	24374	14147	14147	
Aggro Paladin	Exodia Mage	10000	0.8509	8509	1491	278765		428048	200407	118883		171879	36847	265247	51926	25063	27092	26382		0.1474	1474	8526	706228	161	429146	241367	116022	40104	160804	2776	167136	99255	68135	100		
Dragon Priest	Murloc Paladin	10000	0.3621	3621	6379	738502	37202	378361	168633	108071		109501	201	198164	12071	62328	490	429		0.6357	6357	3643	763639		367865	187021	110007		137923	6217	296941	30709	24711	9445	9445	
Big Spell Mage	Midrange Hunter	10000	0.0951	951	9049	887584	5960	377730	162411	109517	12686	118590	330	140964	38640	58905	2084			0.9047	9047	953	324764	894	360961	156812	112891		112633	490	248433	9205	30733	15992	15992	
Miracle Rogue	Cube Warlock	10000	0.1542	1542	8458	762333	5635	482879	270364	131597	167	210811	27712	231697	131824	39080	38547	148	2233	0.8454	8454	1546	887613	227084	562541	205330	132330		184248	3604	274606	62065	36385	3684	3684	19678
Cube Warlock	Highlander Priest	10000	0.8335	8335	1665	948917	269575	782593	277278	177491	43	235534	24159	345347	78772	57339	5708	5708	21923	0.1661	1661	8339	1227104	196045	718288	388533	175965	8427	224758	43921	246955	127057	133872	162	102	975
Zoo Warlock	Mill Rogue	10000	0.9184	9184	816	391088	2949	383969	204262	106761		173523	4335	337275	17153	25184			30216	0.0815	815	9185	506560	6463	309713	191632	103658		127702	154	130076	82151	29323	42770	13447	
Highlander Priest	Exodia Mage	10000	0.4015	4015	5985	989270	182236	811422	420142	183903	10016	253375	146743	281658	140486	134113	71		628	0.5905	5905	4095	685954	9509	896862	422652	186666	52666	256702	64649	295529	184283	99880	7		142
Midrange Hunter	Demon Warlock	10000	0.8364	8364	1636	481833	902	422142	179664	128638		127559	2014	279757	10384	38433	18210	18210		0.1628	1628	8372	1131428	188451	558939	187351	126979		163197	18282	202231	72639	35143	369	369	
Token Shaman	Mill Rogue	10000	0.9763	9763	237	364206	9435	537010	250564	127045	1301	174043	8312	351912	75586	27775	11134	10999	325	0.0233	233	9767	576028	11399	407502	239069	124331	112	153847	1644	168848	100633	34056	51427	17368	40
Aggro Paladin	Dragon Priest	10000	0.4222	4222	5778	793434		366380	178921	109715		138360	3349	244956	44454	27040	23359	22627		0.5778	5778	4222	716115	39183	381396	170330	108821		110328	32	210413	11476	63009	888	802	
Cube Warlock	Big Spell Mage	10000	0.5482	5482	4518	1144755	273256	719843	259020	177491	1120	216151	68601	345878	76941	61074	6382	6382	18075	0.4513	4513	5487	1345872	17270	793540	290672	175284	24618	188806	8101	267878	74912	97029	5467	2	
Secret Mage	Aggro Hunter	10000	0.232	2320	7680	688532	591	296538	181033	97797		112292	2214	146354	59737	51823	1983	1983		0.7675	7675	2325	404941	8	320361	145956	99977		99977		194930	20076	24545	14277	14277	
Elemental Priest	Token Shaman	10000	0.0575	575	9425	1222003	162074	594629	340361	152437	5789	192928	22175	207504	116488	118239	295	252	436	0.9425	9425	575	512244	14857	568204	273574	154940	1964	178861	1396	346658	85919	47396	12686	12550	268
Zoo Warlock	Cube Warlock	10000	0.655	6550	3450	803698	15423	430713	221881	126720		177732	6579	344675	18050	39316			29893	0.3442	3442	6558	1239664	228420	485043	185427	125059		169883	8505	224270	60567	37626	3654	3654	14151
Cube Warlock	Jade Druid	10000	0.2825	2825	7175	1663995	312634	750321	275261	176756		224774	46589	353994	82797	61052	6039	6039	19416	0.717	7170	2830	1258178		909770	313797	178482	217344	269017	90635	250188	188559	55997			
Elemental Priest	Midrange Hunter	10000	0.0201	201	9799	727947	103609	308467	193855	100033	2288	127693	1095	119338	69368	63741	293	283	124	0.9798	9798	202	271478	818	336337	147237	104376		104416		229379	7890	25965	14805	14799	
Elemental Priest	Demon Warlock	10000	0.2507	2507	7493	1180977	189772	781129	418362	195916	8335	230341	66154	258356	141159	151317	119	52	544	0.7486	7486	2514	982003	243373	1061167	311813	196548	121	237511	51321	353996	110098	57892	987	986	22
Big Priest	Exodia Mage	10000	0.8845	8845	1155	613326	287054	972765	344052	202164		226798	24349	137600	183587	112012	1269	1269		0.1125	1125	8875	884345	23042	1019585	446620	209608	60040	258958	135610	295744	207503	103356	277	277	
Aggro Druid	Demon Warlock	10000	0.5124	5124	4876	696409		409879	232860	151137	49829	152300	5304	310700	66264	49829				0.487	4870	5130	1243745	213005	741705	231539	152075		187129	36183	254381	88290	42164	549	549	
Midrange Hunter	Jade Druid	10000	0.7271	7271	2729	556821	1644	400595	171065	117541		117531	20	265889	9506	31787	17395	17395		0.2726	2726	7274	1002327		508739	177187	115836	116033	169669	14737	142911	103445	33394			
Highlander Priest	Demon Warlock	10000	0.2166	2166	7834	1172447	179818	761167	408507	194302	8869	233642	80515	259002	130828	149946	63		594	0.7827	7827	2173	962598	238412	1050278	308651	194662	48	236675	47879	350691	109020	57293	928	926	15
Mill Rogue	Aggro Druid	10000	0.0227	227	9773	554539	10946	354158	212923	113875		139892	2438	146236	90670	31246	46906	15660		0.977	9770	230	310790		396531	232199	117348	27499	147534	2591	340817	55028	27499			
Aggro Druid	Spiteful Priest	10000	0.2244	2244	7756	1007334		298819	177486	108658	29701	111500		244499	48378	29701				0.7755	7755	2245	670515	48241	382636	174431	110396		113293	255	207377	11829	63594	130	88	
